Sum max_outputs:	 7500.000000019998 
ID:58 	 ID= 58, x=6, y=9, output=61.5437326, battery=False
 
ID:59 	 ID= 59, x=17, y=15, output=52.23919855, battery=False
 
ID:60 	 ID= 60, x=44, y=29, output=57.03641574, battery=False
 
ID:61 	 ID= 61, x=12, y=10, output=61.57329114, battery=False
 
ID:62 	 ID= 62, x=19, y=28, output=54.48982494, battery=False
 
ID:63 	 ID= 63, x=11, y=34, output=38.62374353, battery=False
 
ID:64 	 ID= 64, x=49, y=39, output=43.1260208, battery=False
 
ID:65 	 ID= 65, x=27, y=18, output=44.4066236, battery=False
 
ID:66 	 ID= 66, x=24, y=19, output=64.44382811, battery=False
 
ID:67 	 ID= 67, x=12, y=38, output=38.40462319, battery=False
 
ID:68 	 ID= 68, x=18, y=6, output=64.1795134, battery=False
 
ID:69 	 ID= 69, x=18, y=44, output=40.87885768, battery=False
 
ID:70 	 ID= 70, x=29, y=1, output=63.87700034, battery=False
 
ID:71 	 ID= 71, x=36, y=50, output=47.14949021, battery=False
 
ID:72 	 ID= 72, x=3, y=9, output=58.3986013, battery=False
 
ID:73 	 ID= 73, x=50, y=45, output=64.49005705, battery=False
 
ID:74 	 ID= 74, x=26, y=31, output=62.88141752, battery=False
 
ID:75 	 ID= 75, x=47, y=35, output=43.94928406, battery=False
 
ID:76 	 ID= 76, x=29, y=31, output=50.35807729, battery=False
 
ID:77 	 ID= 77, x=12, y=50, output=56.40032746, battery=False
 
ID:78 	 ID= 78, x=15, y=45, output=60.93412813, battery=False
 
ID:79 	 ID= 79, x=5, y=19, output=58.6298162, battery=False
 
ID:80 	 ID= 80, x=1, y=43, output=47.39904077, battery=False
 
ID:81 	 ID= 81, x=15, y=4, output=61.34791216, battery=False
 
ID:82 	 ID= 82, x=17, y=21, output=59.05896036, battery=False
 
ID:83 	 ID= 83, x=28, y=44, output=59.68436389, battery=False
 
ID:84 	 ID= 84, x=21, y=29, output=49.50781665, battery=False
 
ID:85 	 ID= 85, x=1, y=29, output=39.81936486, battery=False
 
ID:86 	 ID= 86, x=37, y=13, output=41.68226663, battery=False
 
ID:87 	 ID= 87, x=42, y=28, output=40.61631674, battery=False
 
ID:88 	 ID= 88, x=41, y=12, output=55.90292767, battery=False
 
ID:89 	 ID= 89, x=4, y=44, output=42.61411328, battery=False
 
ID:90 	 ID= 90, x=28, y=46, output=49.44122897, battery=False
 
ID:91 	 ID= 91, x=50, y=12, output=49.04859791, battery=False
 
ID:92 	 ID= 92, x=3, y=18, output=57.36334288, battery=False
 
ID:93 	 ID= 93, x=37, y=12, output=38.33821095, battery=False
 
ID:94 	 ID= 94, x=9, y=4, output=54.0265882, battery=False
 
ID:95 	 ID= 95, x=1, y=12, output=57.39706274, battery=False
 
ID:96 	 ID= 96, x=17, y=35, output=43.25342339, battery=False
 
ID:97 	 ID= 97, x=8, y=33, output=49.04355789, battery=False
 
ID:98 	 ID= 98, x=17, y=44, output=63.56837786, battery=False
 
ID:99 	 ID= 99, x=15, y=29, output=58.39362925, battery=False
 
ID:100 	 ID= 100, x=12, y=11, output=38.79808279, battery=False
 
ID:101 	 ID= 101, x=33, y=32, output=35.44113109, battery=False
 
ID:102 	 ID= 102, x=10, y=25, output=46.87020086, battery=False
 
ID:103 	 ID= 103, x=3, y=35, output=64.6667857, battery=False
 
ID:104 	 ID= 104, x=2, y=19, output=52.89669021, battery=False
 
ID:105 	 ID= 105, x=36, y=12, output=36.64489815, battery=False
 
ID:106 	 ID= 106, x=18, y=18, output=38.48596722, battery=False
 
ID:107 	 ID= 107, x=14, y=11, output=47.63820126, battery=False
 
ID:108 	 ID= 108, x=48, y=3, output=63.8665196, battery=False
 
ID:109 	 ID= 109, x=2, y=18, output=62.12319013, battery=False
 
ID:110 	 ID= 110, x=30, y=35, output=50.13812647, battery=False
 
ID:111 	 ID= 111, x=1, y=9, output=45.04775519, battery=False
 
ID:112 	 ID= 112, x=16, y=50, output=39.51931013, battery=False
 
ID:113 	 ID= 113, x=14, y=4, output=64.74853094, battery=False
 
ID:114 	 ID= 114, x=11, y=9, output=45.54974087, battery=False
 
ID:115 	 ID= 115, x=37, y=3, output=38.76288176, battery=False
 
ID:116 	 ID= 116, x=24, y=29, output=54.907644, battery=False
 
ID:117 	 ID= 117, x=13, y=33, output=57.5929688, battery=False
 
ID:118 	 ID= 118, x=1, y=5, output=54.51204967, battery=False
 
ID:119 	 ID= 119, x=31, y=13, output=45.8934274, battery=False
 
ID:120 	 ID= 120, x=21, y=48, output=41.48920914, battery=False
 
ID:121 	 ID= 121, x=0, y=26, output=43.44180597, battery=False
 
ID:122 	 ID= 122, x=4, y=38, output=39.14559958, battery=False
 
ID:123 	 ID= 123, x=24, y=26, output=38.69040639, battery=False
 
ID:124 	 ID= 124, x=46, y=27, output=38.17991123, battery=False
 
ID:125 	 ID= 125, x=50, y=31, output=50.56612579, battery=False
 
ID:126 	 ID= 126, x=20, y=32, output=54.8377261, battery=False
 
ID:127 	 ID= 127, x=11, y=15, output=36.67499817, battery=False
 
ID:128 	 ID= 128, x=23, y=34, output=41.88875758, battery=False
 
ID:129 	 ID= 129, x=7, y=29, output=52.8837846, battery=False
 
ID:130 	 ID= 130, x=46, y=34, output=44.36408371, battery=False
 
ID:131 	 ID= 131, x=6, y=42, output=40.7044132, battery=False
 
ID:132 	 ID= 132, x=25, y=37, output=48.28655559, battery=False
 
ID:133 	 ID= 133, x=4, y=16, output=47.83949256, battery=False
 
ID:134 	 ID= 134, x=10, y=27, output=51.50674585, battery=False
 
ID:135 	 ID= 135, x=33, y=47, output=59.37576043, battery=False
 
ID:136 	 ID= 136, x=8, y=50, output=50.04026027, battery=False
 
ID:137 	 ID= 137, x=8, y=8, output=49.40039856, battery=False
 
ID:138 	 ID= 138, x=41, y=34, output=55.9303441, battery=False
 
ID:139 	 ID= 139, x=12, y=41, output=41.16116018, battery=False
 
ID:140 	 ID= 140, x=37, y=37, output=50.75214489, battery=False
 
ID:141 	 ID= 141, x=16, y=29, output=60.91065902, battery=False
 
ID:142 	 ID= 142, x=43, y=11, output=40.55434782, battery=False
 
ID:143 	 ID= 143, x=5, y=35, output=44.58706876, battery=False
 
ID:144 	 ID= 144, x=45, y=30, output=58.83768219, battery=False
 
ID:145 	 ID= 145, x=32, y=38, output=56.32473588, battery=False
 
ID:146 	 ID= 146, x=20, y=37, output=54.95406591, battery=False
 
ID:147 	 ID= 147, x=38, y=47, output=35.5552718, battery=False
 
ID:148 	 ID= 148, x=3, y=25, output=38.40802103, battery=False
 
ID:149 	 ID= 149, x=34, y=1, output=37.82715244, battery=False
 
ID:150 	 ID= 150, x=40, y=31, output=57.12008594, battery=False
 
