Sum max_outputs:	 7499.999999999998 
ID:47 	 x=31, y=24, output=46.38651333, battery=False 
ID:48 	 x=25, y=29, output=53.35585729, battery=False 
ID:49 	 x=16, y=19, output=54.16981224, battery=False 
ID:50 	 x=45, y=31, output=48.01065715, battery=False 
ID:51 	 x=27, y=11, output=50.55356632, battery=False 
ID:52 	 x=46, y=48, output=47.37788381, battery=False 
ID:53 	 x=17, y=41, output=48.60918505, battery=False 
ID:54 	 x=39, y=46, output=48.14242474, battery=False 
ID:55 	 x=14, y=6, output=49.72629004, battery=False 
ID:56 	 x=8, y=12, output=46.01633925, battery=False 
ID:57 	 x=0, y=19, output=51.03867367, battery=False 
ID:58 	 x=13, y=47, output=48.4395487, battery=False 
ID:59 	 x=39, y=35, output=52.0929123, battery=False 
ID:60 	 x=25, y=13, output=45.5472391, battery=False 
ID:61 	 x=8, y=13, output=46.46747877, battery=False 
ID:62 	 x=33, y=31, output=48.25043584, battery=False 
ID:63 	 x=28, y=28, output=45.40186719, battery=False 
ID:64 	 x=39, y=25, output=49.93311335, battery=False 
ID:65 	 x=12, y=26, output=49.65236115, battery=False 
ID:66 	 x=6, y=41, output=46.05322103, battery=False 
ID:67 	 x=16, y=1, output=48.70842308, battery=False 
ID:68 	 x=20, y=11, output=48.54997218, battery=False 
ID:69 	 x=7, y=32, output=51.72717898, battery=False 
ID:70 	 x=2, y=5, output=51.62646163, battery=False 
ID:71 	 x=41, y=36, output=52.78210048, battery=False 
ID:72 	 x=10, y=36, output=49.13738507, battery=False 
ID:73 	 x=4, y=2, output=52.76961749, battery=False 
ID:74 	 x=20, y=16, output=48.0219944, battery=False 
ID:75 	 x=31, y=8, output=45.78474275, battery=False 
ID:76 	 x=24, y=50, output=52.98566399, battery=False 
ID:77 	 x=25, y=40, output=49.79777396, battery=False 
ID:78 	 x=48, y=28, output=47.99198559, battery=False 
ID:79 	 x=50, y=0, output=53.71601636, battery=False 
ID:80 	 x=30, y=7, output=45.2342213, battery=False 
ID:81 	 x=21, y=21, output=53.15980812, battery=False 
ID:82 	 x=20, y=10, output=50.30051709, battery=False 
ID:83 	 x=6, y=17, output=46.01918212, battery=False 
ID:84 	 x=30, y=45, output=50.8435769, battery=False 
ID:85 	 x=50, y=15, output=53.95360569, battery=False 
ID:86 	 x=16, y=16, output=53.32105133, battery=False 
ID:87 	 x=14, y=22, output=50.63918945, battery=False 
ID:88 	 x=11, y=37, output=52.2305101, battery=False 
ID:89 	 x=50, y=21, output=51.82639703, battery=False 
ID:90 	 x=9, y=11, output=52.8088529, battery=False 
ID:91 	 x=15, y=10, output=54.53006205, battery=False 
ID:92 	 x=6, y=22, output=46.51627586, battery=False 
ID:93 	 x=41, y=44, output=45.29702228, battery=False 
ID:94 	 x=26, y=41, output=47.09131203, battery=False 
ID:95 	 x=15, y=15, output=45.31733653, battery=False 
ID:96 	 x=24, y=32, output=50.16548949, battery=False 
ID:97 	 x=41, y=12, output=52.38040091, battery=False 
ID:98 	 x=29, y=25, output=47.58049297, battery=False 
ID:99 	 x=39, y=27, output=52.05437525, battery=False 
ID:100 	 x=50, y=35, output=54.12515118, battery=False 
ID:101 	 x=0, y=4, output=45.16959822, battery=False 
ID:102 	 x=45, y=2, output=53.48855448, battery=False 
ID:103 	 x=29, y=7, output=50.91041056, battery=False 
ID:104 	 x=10, y=24, output=53.76285577, battery=False 
ID:105 	 x=46, y=4, output=47.6825473, battery=False 
ID:106 	 x=17, y=12, output=45.61104522, battery=False 
ID:107 	 x=33, y=3, output=53.3512745, battery=False 
ID:108 	 x=36, y=14, output=51.58057128, battery=False 
ID:109 	 x=8, y=44, output=50.30256407, battery=False 
ID:110 	 x=48, y=47, output=53.26904882, battery=False 
ID:111 	 x=22, y=34, output=46.65187897, battery=False 
ID:112 	 x=31, y=37, output=51.54326497, battery=False 
ID:113 	 x=19, y=47, output=50.38289294, battery=False 
ID:114 	 x=20, y=28, output=53.12331423, battery=False 
ID:115 	 x=20, y=5, output=48.31035497, battery=False 
ID:116 	 x=19, y=22, output=51.79628813, battery=False 
ID:117 	 x=6, y=43, output=53.95936785, battery=False 
ID:118 	 x=2, y=50, output=49.52760828, battery=False 
ID:119 	 x=8, y=20, output=46.13662116, battery=False 
ID:120 	 x=40, y=8, output=45.17557463, battery=False 
ID:121 	 x=34, y=47, output=51.57104914, battery=False 
ID:122 	 x=0, y=46, output=50.20207187, battery=False 
ID:123 	 x=37, y=21, output=54.7990422, battery=False 
ID:124 	 x=14, y=15, output=53.34058355, battery=False 
ID:125 	 x=44, y=40, output=46.43816048, battery=False 
ID:126 	 x=0, y=24, output=48.72125695, battery=False 
ID:127 	 x=3, y=23, output=53.08724525, battery=False 
ID:128 	 x=17, y=37, output=53.63429606, battery=False 
ID:129 	 x=42, y=45, output=49.54607954, battery=False 
ID:130 	 x=9, y=40, output=54.56844455, battery=False 
ID:131 	 x=37, y=5, output=47.92097158, battery=False 
ID:132 	 x=1, y=30, output=48.43719875, battery=False 
ID:133 	 x=10, y=3, output=50.74878243, battery=False 
ID:134 	 x=36, y=44, output=47.56339729, battery=False 
ID:135 	 x=6, y=0, output=47.77817151, battery=False 
ID:136 	 x=30, y=5, output=45.25109877, battery=False 
ID:137 	 x=3, y=16, output=53.54773542, battery=False 
ID:138 	 x=43, y=30, output=47.97674042, battery=False 
ID:139 	 x=2, y=35, output=52.57995149, battery=False 
ID:140 	 x=30, y=29, output=47.67000862, battery=False 
ID:141 	 x=29, y=16, output=48.94518723, battery=False 
ID:142 	 x=36, y=8, output=51.83878558, battery=False 
ID:143 	 x=25, y=39, output=47.71839737, battery=False 
ID:144 	 x=18, y=39, output=48.74438962, battery=False 
ID:145 	 x=4, y=35, output=48.22881096, battery=False 
ID:146 	 x=6, y=2, output=48.23526882, battery=False 
ID:147 	 x=14, y=18, output=51.07946117, battery=False 
ID:148 	 x=35, y=24, output=48.82801588, battery=False 
ID:149 	 x=20, y=41, output=46.27510427, battery=False 
ID:150 	 x=29, y=11, output=47.73944395, battery=False 
